id	state_name	county_name	pop2014	bush_donors	bush_donations	carson_donors	carson_donations	christie_donors	christie_donations	clinton_donors	clinton_donations	cruz_donors	cruz_donations	fiorina_donors	fiorina_donations	graham_donors	graham_donations	huckabee_donors	huckabee_donations	jindal_donors	jindal_donations	kasich_donors	kasich_donations	omalley_donors	omalley_donations	pataki_donors	pataki_donations	paul_donors	paul_donations	rubio_donors	rubio_donations	sanders_donors	sanders_donations	santorum_donors	santorum_donations	trump_donors	trump_donations
1059	Alabama	Franklin County	31601	0	0	0	0	0	0	19	5865	0	0	0	0	0	0	1	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1061	Alabama	Geneva County	26712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1063	Alabama	Greene County	8553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1065	Alabama	Hale County	15184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1067	Alabama	Henry County	17190	1	5000	2	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1069	Alabama	Houston County	104193	7	36550	12	4874	0	0	0	0	4	1300	0	0	0	0	1	1000	0	0	0	0	0	0	0	0	0	0	6	7450	1	250	0	0	1	250
1071	Alabama	Jackson County	52665	4	7000	2	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1073	Alabama	Jefferson County	660793	98	323600	123	90004	0	0	37	40123	24	28750	13	4650	0	0	9	7950	2	7500	5	5200	0	0	0	0	10	5901	17	8310	10	3000	0	0	2	750
1075	Alabama	Lamar County	14086	0	0	0	0	0	0	2	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1077	Alabama	Lauderdale County	93096	0	0	5	1350	0	0	0	0	4	2500	0	0	0	0	3	1500	0	0	0	0	0	0	0	0	0	0	0	0	2	750	0	0	1	1000
1079	Alabama	Lawrence County	33477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	250	0	0	0	0
1081	Alabama	Lee County	154255	1	2700	5	1450	0	0	0	0	3	2850	2	1250	0	0	2	750	0	0	0	0	0	0	0	0	0	0	1	200	0	0	0	0	1	2700
1083	Alabama	Limestone County	90787	3	2700	6	1900	0	0	4	1075	1	250	1	500	0	0	0	0	0	0	0	0	0	0	0	0	2	900	0	0	0	0	0	0	0	0
1085	Alabama	Lowndes County	10580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1087	Alabama	Macon County	19425	0	0	0	0	0	0	0	0	2	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1089	Alabama	Madison County	350299	13	14900	39	13905	0	0	19	22837	21	10400	0	0	0	0	0	0	0	0	1	250	1	2700	0	0	6	2701	1	500	11	5523	0	0	4	4364
1091	Alabama	Marengo County	20110	0	0	0	0	0	0	0	0	1	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1093	Alabama	Marion County	30271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1095	Alabama	Marshall County	94636	1	2700	8	3050	0	0	0	0	2	1500	2	500	0	0	0	0	0	0	2	3200	0	0	0	0	0	0	1	200	0	0	0	0	1	250
1097	Alabama	Mobile County	415123	7	6300	38	18719	0	0	17	36551	8	2700	4	2250	0	0	1	200	1	50000	2	2950	0	0	0	0	1	201	2	500	2	1242	0	0	2	480
1099	Alabama	Monroe County	21947	0	0	1	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1101	Alabama	Montgomery County	226189	9	19550	22	11960	0	0	7	6450	8	3000	6	2750	1	500	3	1250	0	0	0	0	0	0	0	0	1	300	2	2900	2	2250	0	0	0	0
1103	Alabama	Morgan County	119607	0	0	9	4425	0	0	0	0	14	6600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000	1	1000	1	200	0	0	0	0
1105	Alabama	Perry County	9826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1107	Alabama	Pickens County	20365	0	0	0	0	0	0	0	0	1	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	300	0	0	0	0	0	0
1109	Alabama	Pike County	33389	0	0	1	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
